raw
"War Monger (Ep52, 2:27:32) Acrobatics Check"
"Umbrasyl (Ep54, 3:43:48) Tail Attack against Pike"
"Umbrasyl (Ep55, 3:07:58) Concentration Check"
"Umbrasyl (Ep55, 3:11:54) Tail Attack against Scanlan"
"Hotis (Ep58, 1:33:18) Dexterity Save (disregarded due to advantage)"
"Treant 2 (Ep63, 2:51:14) Constitution Save"
"Saundor (Ep63, 2:53:29) Fenthras against Vax’ildan"
"Cobalt Golem (Ep66, 1:09:13) Athletics Check with disadvantage"
"Cobalt Golem (Ep66, 1:16:33) Athletics Check"
"Ripley (Ep67, 2:47:03) Wisdom Save against Scrying"
"Female Gunner (Ep68, 2:08:50) Shot against Vax with disadvantage"
"Ripley (Ep68, 2:35:36) Pepperbox Head Shot against Percy"
"Kynan (Ep68, 3:07:40) Constitution Save"
"Yenk (Ep71, 3:21:23) Fist against Vorugal with advantage (disregarded)"
"Vorugal (Ep71, 4:31:25) Dexterity Save with disadvantage"
"Fire Giant (Ep77, 1:25:05) Rubble against Keyleth"
"Wyvern Rider (Ep77, 1:51:05) Dexterity Save"
"Thordak (Ep79, 0:14:57) Perception Check"
"Gilmore (Ep79, 0:33:57) Dexterity Save"
"Thordak (Ep79, 1:17:43) Claw Attack against Grog with advantage (disregarded)"
"Wyvern 2 (Ep79, 2:40:28) Bite Attack against Vex’ahlia"
"Devo’ssa (Ep80, 2:06:01) Constitution Save"
"Raishan (Ep80, 2:17:20) Dexterity Save"
"Devo’ssa (Ep80, 2:25:13) Tail against Raishan"
"Kima (Ep82, 2:34:42) Flameskull Battle Initiative"
Raishan (Ep83 2:10:03) Bite against Scanlan with advantage (disregarded)
"Groon (Ep85, 0:22:31) Unarmed Strike against Grog"
"Marid (Ep87, 1:17:56) Dexterity Save with disadvantage"
"Pirate 2 (Ep87, 1:35:49) Dagger against Grog with advantage (disregarded)"
"Pirate 2 (Ep87, 1:35:59) Rapier against Trinket"
"Kraken (Ep88, 3:37:47) Constitution Save"
"Kraken (Ep88, 4:57:40) Tentacle against Keyleth"
"Spined Devil 3 (Ep93, 3:32:25) Tail against Keyleth"
"Chain Golem (Ep93, 4:03:26) Slam against Tova"
"Gray Render (Ep94, 3:37:44) Claw against Vex’ahlia"
"Gray Render (Ep94, 3:37:47) Claw against Vex’ahlia"
"Shade (Ep96, 4:07:14) Attack against Vax’ildan"
"JB (Ep96, 4:19:40) Athletics Check"
"Skeleton (Ep100, 3:05:01)"
"Zombie (Ep102, 2:48:09) Attack against Percy"
"Death Knight (Ep102, 3:42:18) Concentration Check with advantage (disregarded)"
"Skeleton (Ep102, 3:59:42) Attack against Pike"
"Angel (Ep104, 2:33:52) Dexterity Save"
"Archer (Ep105, 2:03:30) Heavy Crossbow against Sprigg with advantage (disregarded)"
"Forge Guardian (Ep108, 2:33:52) Rune Blade against Vax’ildan"
"Elemental (Ep108, 3:18:37) Slam against Forge Guardian with disadvantage"
"Earth Elemental 2 (Ep110, 1:20:14) Slam against Vex’ahlia"
"Gloomstalker (Ep113, 0:59:34) Dexterity Save"
"Sylas (Ep113, 2:53:25) Strength Save"
"Zombie (Ep113, 3:50:15) Attack against Vex’ahlia"
"Vecna (Ep114, 0:47:03) Concentration Check"
"Vecna (Ep114, 5:19:29) Concentration Check with disadvantage"
