"episode","actor","time_stamp","description","guest"
71,"Liam","2:18:19","Stealth Check",0
71,"Taliesin","2:54:23","Wing Shot against Vorugal",0
71,"Travis","3:57:09","Bloodaxe GWM Reckless Attack against Yenk",0
71,"Ashley","4:10:09","Death Save",0
72,"Travis","1:03:04","Investigation Check",0
72,"Travis","2:25:02","Dexterity Save against Keyleth’s Fireball (Spire of Conflux",0
73,"Liam","2:39:54","Perception Check",0
75,"Liam","1:15:12","Perception Check",0
75,"Travis","1:20:14","Deception Check",0
76,"Marisha","0:16:10","Initiative",0
76,"Taliesin","1:02:36","Animus Wing Shot against Ghurrix",0
76,"Travis","1:11:53","Strength Check with advantage",0
76,"Liam","1:43:23","Constitution Save",0
77,"Travis","1:42:03","Dexterity Save with advantage",0
77,"Travis","2:03:16","Dexterity Save with advantage",0
77,"Sam","2:17:11","Constitution Save with advantage (disregarded",0
77,"Sam","2:17:11","Constitution Save with advantage",0
77,"Sam","2:17:37","Constitution Save with advantage",0
77,"Liam","2:20:38","Whisper Sneak Attack against FG",0
78,"Liam","2:26:25","Whisper against Kash",0
78,"Marisha","2:54:40","Stealth Check with PWaT",0
78,"Sam","2:54:42","Stealth Check with PWaT",0
78,"Liam","3:15:58","Investigation Check",0
78,"Laura","3:22:58","Persuasion Check with disadvantage (disregarded",0
78,"Travis","3:55:11","Dexterity Save",0
78,"Guests","3:58:04","Eldritch Agonizing Blast against FG2",1
79,"Taliesin","0:58:23","Bad News with Deadeye against Thordak",0
79,"Travis","1:06:58","Dexterity with advantage",0
79,"Travis","1:08:03","Bloodaxe Reckless against Thordak",0
79,"Liam","2:12:09","Dragonslayer Sword with Sneak Attack and Divine Smite and HM",0
79,"Travis","2:49:37","Bloodaxe Reckless (Unrolled",0
79,"Sam","3:04:31","Dexterity Save",0
79,"Travis","3:13:38","Bloodaxe Thrown Reckless against Thordak",0
79,"Liam","3:18:45","Whisper against Thordak",0
80,"Taliesin","1:25:55","Bad News against Raishan",0
80,"Sam","1:27:29","Dexterity Save",0
80,"Travis","1:41:43","Bloodaxe Thrown Reckless against Raishan",0
81,"Taliesin","2:19:25","History Check",0
82,"Marisha","0:44:33","Stealth Check with PWaT",0
82,"Laura","0:48:00","Investigation Check with advantage",0
82,"Liam","0:58:02","Perception Check",0
82,"Laura","1:13:28","Fenthras Oracle Shot",0
82,"Marisha","2:33:10","Flameskull Battle Initiative",0
82,"Sam","2:33:21","Flameskull Battle Initiative",0
82,"Marisha","2:42:30","Dex Save with advantage",0
82,"Laura","2:54:09","Fenthras against Flameskull 1",0
82,"Ashley","3:02:04","Concentration Checks with advantage",0
82,"Liam","3:13:14","Investigation Check",0
82,"Laura","4:10:35","Dexterity Save",0
82,"Taliesin","4:19:00","Investigation Check",0
83,"Ashley","0:13:05","Stealth Check with disadvantage (disregarded",0
83,"Guests","0:13:55","Stealth Check",1
83,"Travis","0:53:02","Dwarven Thrower (2 handed",0
83,"Liam","1:30:04","Dexterity Save",0
83,"Taliesin","2:05:15","Animus Deadeye with Cabal’s Ruin",0
83,"Travis","2:45:38","Athletics Check",0
83,"Marisha","3:46:08","Perception Check",0
84,"Ashley","0:38:13","Performance Check with advantage",0
85,"Travis","0:42:57","DT GWM with disadvantage (disregarded",0
85,"Travis","0:54:43","Constitution Save",0
85,"Travis","1:01:32","DT (melee",0
85,"Taliesin","1:57:53","History Check",0
86,"Liam","1:29:34","Whisper (Pommel",0
86,"Laura","2:27:22","Insight Check",0
87,"Guests","1:43:01","Ring of the Ram against Marid (3 charges",1
87,"Liam","2:04:30","Dexterity Save with advantage",0
87,"Laura","2:31:36","Insight Check",0
88,"Taliesin","1:30:46","Intelligence Check",0
88,"Liam","2:21:45","Stealth Check with PWaT",0
88,"Marisha","2:25:38","Initiative",0
88,"Travis","4:09:57","DT Reckless",0
88,"Travis","4:27:30","DT Reckless",0
88,"Travis","4:59:35","DT Reckless",0
88,"Taliesin","5:11:45","Persuasion Check with advantage",0
89,"Ashley","2:48:34","Insight Check",0
89,"Travis","2:50:56","Insight Check",0
90,"Liam","1:07:34","Disguise Kit with Luck",0
90,"Travis","2:18:48","Persuasion Check",0
90,"Guests","2:33:43","Constitution Save",1
90,"Taliesin","3:20:14","Insight Check",0
91,"Taliesin","1:56:54","Investigation Check",0
92,"Marisha","0:58:21","Investigation Check",0
92,"Travis","1:57:42","Wisdom Save with advantage",0
92,"Guests","1:57:43","Wisdom Save with advantage",1
92,"Travis","2:07:22","Stealth Check with Pass Without a Trace",0
92,"Travis","2:44:31","Stealth Check with Pass Without a Trace with disadvantage (disregarded",0
93,"Trinket","0:44:46","Dexterity Save",0
93,"Travis","1:35:59","Attack against Bearded Devil with advantage",0
93,"Marisha","1:55:32","Piledrive Utugash (Fire Giant",0
93,"Travis","3:46:41","DT Reckless against Bone Devil",0
94,"Marisha","1:07:45","Insight Check",0
94,"Trinket","3:44:28","Bite Attack of Opportunity against Gray Render",0
95,"Liam","1:27:39","Sleight of Hand Check",0
95,"Ashley","2:29:06","Arcana Check",0
96,"Doty","3:57:33","Bash against Shade",0
96,"Liam","4:02:20","Dagger of Venom with Divine Smite against Shade",0
97,"Liam","0:54:25","Perception Check",0
97,"Travis","1:19:03","Investigation Check",0
97,"Taliesin","1:34:00","Investigation Check",0
97,"Laura","2:55:53","Stealth Check",0
98,"Laura","2:48:02","Religion Check",0
98,"Travis","3:10:13","Stealth Check with Pass Without a Trace",0
98,"Liam","3:17:36","Wisdom Save (disregarded",0
98,"Liam","3:18:12","Initiative",0
98,"Ashley","3:19:16","Initiative",0
98,"Liam","3:24:37","Constitution Save",0
98,"Ashley","3:28:49","Dexterity Save",0
98,"Guests","3:37:46","Dexterity Save with Luck",1
98,"Marisha","3:58:26","Slam Attack against Symphior",0
98,"Guests","4:15:34","Dexterity Save",1
98,"Ashley","4:19:10","Dexterity Save",0
99,"Marisha","1:54:37","Insight Check",0
99,"Guests","3:03:28","Punch Reckless against Grog",1
99,"Guests","3:28:56","Constitution Save",1
100,"Liam","1:49:53","Investigation Check",0
100,"Guests","3:10:55","Greatsword against Skeleton",1
100,"Guests","3:11:05","Greatsword against Skeleton",1
100,"Sam","3:25:54","Insight Check",0
100,"Sam","3:30:07","Stealth Check with PWaT",0
100,"Liam","3:32:50","Dagger of Venom",0
100,"Liam","3:33:34","Investigation Check",0
100,"Laura","3:43:30","Stealth with PWaT",0
100,"Liam","3:49:05","Intelligence Check",0
100,"Marisha","3:59:42","Initiative",0
100,"Travis","4:16:55","Bloodaxe Reckless",0
100,"Guests","4:20:02","Greatsword against Cultist",1
100,"Laura","4:27:36","Fenthras against Delilah",0
100,"Taliesin","4:36:06","Constitution Save with advantage",0
101,"Laura","3:00:00","Fenthras Surprise Bramble Shot against Cultist",0
102,"Laura","0:41:14","Stealth Check with Pass Without a Trace",0
102,"Sam","0:41:15","Stealth Check with Pass Without a Trace",0
102,"Ashley","1:18:47","Strength Check",0
102,"Laura","2:46:08","Constitution Save",0
102,"Taliesin","3:33:12","Animus with Deadeye and Sharpshooter against Delilah",0
102,"Taliesin","3:41:28","Animus with Deadeye and Sharpshooter against Death Knight",0
103,"Laura","0:43:21","Nature Check",0
103,"Ashley","1:14:35","Medicine Check",0
104,"Sam","2:53:23","Investigation Check",0
104,"Marisha","2:53:28","Investigation Check",0
105,"Travis","0:58:24","Perception Check",0
105,"Travis","2:06:33","Initiative with advantage",0
105,"Liam","2:15:03","Whisper Sneak Attack with advantage",0
105,"Liam","2:27:56","Constitution Save",0
105,"Taliesin","2:46:13","Perception Check",0
105,"Sam","3:49:30","Investigation Check",0
106,"Liam","0:30:44","Perception Check with Luck",0
106,"Sam","0:47:50","Performance Check (adv. Not rolled",0
106,"Laura","2:21:06","Insight Check",0
107,"Marisha","0:43:50","Nature Check",0
