"file_name","Time","Character","Type.of.Roll","Total.Value","Natural.Value","Crit.","Damage","X..Kills","Notes","roll"
"3","0:36:25","Vex'ahlia","Survival","19","13",NA,NA,NA,NA,1
"3","0:38:39","Vax'ildan","Stealth","Nat20","20",NA,NA,NA,NA,1
"3","0:39:45","Vex'ahlia","Stealth","16","7",NA,NA,NA,NA,1
"3","0:50:25","Tiberius","Arcana","20","14",NA,NA,NA,NA,1
"3","0:53:00","Grog","Stealth","6","4",NA,NA,NA,NA,1
"3","0:53:00","Keyleth","Stealth","15","13",NA,NA,NA,NA,1
"3","0:53:00","Percy","Stealth","12","7",NA,NA,NA,NA,1
"3","0:53:00","Scanlan","Stealth","20","18",NA,NA,NA,NA,1
"3","0:53:00","Tiberius","Stealth","11","8",NA,NA,NA,NA,1
"3","0:53:00","Vax'ildan","Stealth","30","17",NA,NA,NA,NA,1
"3","0:53:00","Vex'ahlia","Stealth","Nat20","20",NA,NA,NA,NA,1
"3","0:55:48","Keyleth","Perception","Unknown","Unknown",NA,NA,NA,NA,1
"3","0:57:51","Vax'ildan","Stealth","29","16",NA,NA,NA,NA,1
"3","0:57:51","Vex'ahlia","Stealth","17","8",NA,NA,NA,NA,1
"3","0:57:51","Scanlan","Stealth","13","11",NA,NA,NA,NA,1
"3","1:04:43","Scanlan","Stealth","18","16",NA,NA,NA,NA,1
"3","1:04:43","Scanlan","Stealth","Unknown","Unknown",NA,NA,NA,"Disregarded due to advantage",1
"3","1:07:00","Scanlan","Stealth","19","17",NA,NA,NA,"With advantage",1
"3","1:07:00","Scanlan","Stealth","Unknown","Unknown",NA,NA,NA,"Disregarded due to advantage",1
"3","1:14:20","Scanlan","Stealth","21","19",NA,NA,NA,"With advantage",1
"3","1:14:20","Scanlan","Stealth","Unknown","Unknown",NA,NA,NA,"Disregarded due to advantage",1
"3","1:14:35","Scanlan","Survival","17","17",NA,NA,NA,NA,1
"3","1:28:30","Tiberius","Intelligence","14","12",NA,NA,NA,NA,1
"3","1:30:07","Percy","Intelligence","Unknown","Unknown",NA,NA,NA,NA,1
"3","1:30:30","Keyleth","Intelligence","17","15",NA,NA,NA,NA,1
"3","1:53:15","Percy","Attack","Unknown","Unknown",NA,NA,NA,"Bad News, Misfire",1
"3","1:53:25","Vex'ahlia","Attack","Unknown","Unknown",NA,NA,NA,"Arrow",1
"3","1:54:14","Vax'ildan","Dexterity","Nat1","1",NA,NA,NA,"Disregarded due to advantage",1
"3","1:54:14","Vax'ildan","Dexterity","28","19",NA,NA,NA,"With advantage",1
"3","1:54:55","Vax'ildan","Wisdom Save","7","5",NA,NA,NA,NA,1
"3","1:56:26","Tiberius","Athletics","21","20",NA,NA,NA,"Unannounced nat20 or bad math/mod",1
"3","1:58:05","Percy","Attack","23","11",NA,NA,NA,"Bad News",1
"3","1:58:27","Percy","Damage","20",NA,NA,"20 to Duergar",NA,NA,1
"3","1:59:58","Percy","Attack","15","3",NA,NA,NA,"Bad News",1
"3","2:00:43","Vex'ahlia","Perception","Nat20","20",NA,NA,NA,NA,1
"3","2:14:27","Keyleth","Stealth","Nat16","16",NA,NA,NA,NA,1
"3","2:14:27","Keyleth","Stealth","Nat13","13",NA,NA,NA,"Disregarded due to advantage",1
"3","2:14:27","Vex'ahlia","Stealth","15","6",NA,NA,NA,"With advantage",1
"3","2:15:30","Vex'ahlia","Survival","16","10",NA,NA,NA,NA,1
"3","2:20:09","Keyleth","Persuasion","9","9",NA,NA,NA,"With disadvantage",1
"3","2:20:09","Keyleth","Persuasion","Unknown","Unknown",NA,NA,NA,"Disregarded due to disadvantage",1
"3","2:22:06","Vex'ahlia","Persuasion","19","12",NA,NA,NA,NA,1
"3","2:22:10","Grog","Insight","16","16",NA,NA,NA,NA,1
"3","2:29:23","Keyleth","Insight","18","8",NA,NA,NA,NA,1
