"word","n"
"pushing",415
"listen",414
"matter",414
"playing",414
"thick",414
"grogs",413
"instead",413
"process",413
"change",412
"approach",411
"base",411
"divine",411
"fingers",411
"nearby",409
"character",407
"cloud",407
"smell",407
"control",405
"vecna",405
"line",404
"hang",402
"travel",402
"held",401
"hurt",401
"slam",400
"war",400
"destroyed",399
"axe",398
"food",398
"problem",398
"ring",397
"insight",396
"tiny",396
"extra",395
"prone",395
"heading",394
"order",394
"rolling",394
"doorway",393
"bed",392
"bits",392
"traps",392
"unless",392
"wood",392
"anymore",391
"clarota",391
"dust",391
"invisible",391
"built",390
"possibly",390
"uh",390
"breath",389
"completely",389
"window",388
"blast",387
"eat",387
"father",386
"learned",386
"spend",385
"year",385
"job",384
"flame",383
"powerful",383
"misses",382
"rather",382
"lead",381
"intelligence",380
"ways",380
"brother",378
"entrance",378
"slightly",378
"symbol",377
"wanna",377
"weapons",377
"checks",376
"knew",376
"jesus",375
"opens",375
"sent",375
"swing",375
"wounds",375
"stands",374
"dangerous",372
"pain",372
"portion",372
"burning",371
"chance",371
"loot",371
"woman",371
"clear",370
"asking",368
"miss",368
"taryon",368
"glad",367
"heart",367
"hot",366
"quiet",366
"main",365
"opportunity",365
"stairs",365
"circle",364
"gate",364
"known",364
"hell",361
"human",360
"glow",359
"surface",359
"beast",358
"laura",358
"tavern",357
"basically",356
"briarwoods",356
"needs",356
"focus",355
"leads",355
"neck",355
"places",355
"brain",353
"certain",353
"news",353
"trinkets",353
"release",352
"sarenrae",352
"central",351
"enter",351
"rough",351
"sight",351
"westruun",351
"whoa",351
"evil",350
"staying",350
"cloak",349
"pit",349
"shut",349
"easy",348
"fighting",348
"higher",348
"individuals",345
"presence",345
"pay",344
"amongst",343
"stupid",343
"travis",343
"color",342
"shall",342
"fact",341
"following",341
"liam",341
"duergar",340
"flames",339
"reason",338
"skull",338
"girl",337
"lord",337
"fantastic",336
"lava",336
"potions",336
"shape",336
"earlier",334
"folks",334
"kept",334
"met",334
"slight",334
"covered",332
"must",332
"scanlans",331
"shirt",331
"similar",331
"twice",331
"bite",330
"sees",330
"slow",330
"important",329
"kinda",329
"single",328
"leap",327
"pikes",327
"scry",327
"vicinity",327
"hitting",326
"tall",326
"entity",325
"certainly",324
"turned",324
"final",323
"putting",323
"started",323
"elements",322
"mist",322
"stick",322
"perfect",321
"arrows",320
"dear",320
"angry",319
"percys",319
"bodies",318
"recognize",318
"forget",317
"hopefully",317
"roof",317
"felt",315
"persuasion",315
"bow",314
"join",314
"camp",313
"knowledge",313
"wyvern",313
"iron",312
"partially",312
"questions",312
"carry",310
"toward",310
"feast",309
"opening",309
"ashari",308
"crate",308
"heads",308
"teeth",308
"throughout",308
"chains",307
"entirely",307
"grabs",307
"late",307
"lower",307
"supposed",307
"empty",306
"lose",306
"sphere",306
"runs",305
"fail",303
"fear",303
"opposite",303
"leather",302
"normal",302
"resistance",302
"ritual",302
"tried",302
"journey",301
"shadow",301
"wear",301
"assume",300
"current",300
"d20",300
"interior",300
"position",300
"regular",300
"bitch",299
"boat",299
"necrotic",299
"solid",299
"greater",298
"legendary",298
"31",297
"casting",297
"climb",297
"history",297
"huh",297
"physical",297
"platform",297
"platinum",297
"bringing",296
"hat",296
"raven",296
"anywhere",295
"except",295
"ugh",295
"council",294
"feels",294
"lift",294
"taldorei",294
"ale",293
"none",293
"reaction",293
"32",292
"baby",292
"managed",292
"queen",292
"sharpshooter",292
"knock",291
"nobody",291
"skin",291
"sign",290
"card",289
"dex",289
"experience",289
"lock",289
"pop",289
"pushed",289
"beard",288
"individual",288
"yay",288
"dwarf",287
"forgot",287
"trace",287
"aw",286
"burst",286
"gods",286
"taliesin",286
"create",285
"buy",284
"build",283
"shots",283
"torso",283
"hidden",282
"looked",282
"mostly",282
"strikes",282
"aware",281
"closed",281
"flash",281
"source",281
"allies",280
"leader",279
"psychic",279
"rushing",279
"literally",278
"blow",277
"draw",277
"simple",277
"ancient",276
"become",276
"briarwood",276
"chat",276
"inspire",276
"rocks",276
"slashing",276
"whisper",276
"young",276
"dick",275
"glowing",275
"song",275
"view",275
"cure",274
"faint",274
"smart",274
"buddy",273
"sweet",273
"street",272
"asked",271
"flesh",271
"honey",271
"larger",271
"locked",271
"spent",271
"choose",270
"keeps",270
"acrobatics",269
"men",269
"special",269
"ashley",268
"cave",268
"imagine",268
"marisha",268
"per",268
"trap",268
"alone",267
"forth",267
"herd",267
"legs",267
"mother",267
"tonights",267
"cassandra",266
"confused",266
"road",266
"loud",265
"seconds",265
"bigbys",264
"destroy",264
"falling",264
"others",264
"radius",264
"hate",263
"rooms",263
"shake",263
"100",262
"continues",262
"funny",262
"outskirts",262
"seemingly",262
"heat",261
"months",261
"elven",260
"melee",260
"visual",260
"goliath",259
"tail",258
"daggers",257
"distant",257
"extremely",257
"sir",257
"worst",257
"aid",256
"contract",256
"halved",256
"hundred",256
"staff",256
"bone",255
"circumstance",255
