"episode","sum_sentiment","mean_sentiment","sd_sentiment","pc_1","pc_20","dm_1","dm_20","face_palms","mean_natural_rolls","Ashley","Guests","number_rolls","time_in_hour","combat_time"
28,152.558510210275,0.0334045347515381,0.266074539992883,3,7,0,0,1,13.3589743589744,0,0,102,3.05720444444444,0.674273055555556
29,110.196411719894,0.0238468755074429,0.258613863487814,3,8,1,0,1,14.2475247524752,0,0,127,3.84047194444445,1.137115
30,103.11520079942,0.0324363638878326,0.268707638090657,6,1,2,3,0,12.5777777777778,0,0,58,2.88994111111111,0.689440555555556
31,74.8411317677843,0.0180557615845077,0.249772299523791,2,6,6,5,0,13.4133333333333,0,0,102,2.96546888888889,1.82837333333333
32,100.971472221044,0.0239780271244464,0.250840767232179,6,4,3,5,2,12.7466666666667,1,0,107,3.29142416666667,1.29669944444445
33,132.84793413718,0.0254741963829683,0.267774596610727,5,12,0,2,0,14.311320754717,0,0,151,4.30695166666667,1.12855611111111
34,127.674393680033,0.0235866236246136,0.25240044229293,7,10,0,3,1,12.7457627118644,1,0,158,4.50443194444445,1.75253944444444
35,129.820418185491,0.0377934259637529,0.274250446309299,3,7,1,0,0,14.5333333333333,1,0,93,3.02298305555555,1.02899472222222
36,197.560103543591,0.0801135861896153,0.277727181042662,4,1,2,1,1,12.8928571428571,0,0,43,2.37939111111111,0
37,283.807010652153,0.0624987911588094,0.2717699000498,0,8,2,3,2,14.2173913043478,1,0,86,4.33712305555555,0.667360833333332
38,194.582906466147,0.0599824002669998,0.262461747777988,4,5,1,0,4,13.5333333333333,1,0,59,4.10912666666667,0
39,181.128669575216,0.0412124390387295,0.277049273615633,2,4,1,3,2,13.4057971014493,0,0,93,3.63475777777778,1.72879166666667
40,82.3708132249152,0.0295447680146755,0.266232036820379,1,4,2,1,0,15.1914893617021,1,0,61,2.82701,0.939362222222222
41,114.648557860123,0.0348369972227659,0.265567912318538,0,7,1,3,1,14.4166666666667,1,1,66,4.30322027777778,0.758498888888889
42,168.314965786867,0.0423008207556842,0.270056569014721,2,2,2,2,7,13.4363636363636,0,0,83,3.44822888888889,0.977736666666666
43,263.680791203137,0.0639846617818822,0.291609080941791,1,3,2,2,2,14.5434782608696,0,1,61,3.42614111111111,0.723431944444446
44,243.293844415625,0.0473610754167072,0.258310411403427,4,4,0,2,7,13.2115384615385,0,1,153,4.55320861111111,1.45905055555556
45,209.289941993118,0.067447612630718,0.280035355564951,0,2,0,0,1,14.1666666666667,0,0,31,3.02492833333333,0
46,140.418324574736,0.0372363629209059,0.291301924626331,0,2,2,1,1,14.3230769230769,0,1,99,3.35453083333333,1.7680125
47,123.344743449338,0.0382227280599127,0.258600715177439,0,2,0,0,3,15,0,0,44,2.98935861111111,0
48,211.674042175013,0.0572401412047088,0.271878314286845,6,4,1,0,3,12.3461538461538,1,0,87,3.16462194444444,0.522635
49,159.728763071348,0.028411377280567,0.267418533993513,7,6,3,5,0,13.4754098360656,0,0,174,4.82348972222222,2.24600305555556
