"episode","sum_sentiment","mean_sentiment","sd_sentiment","pc_1","pc_20","dm_1","dm_20","face_palms","mean_natural_rolls","Ashley","Guests","number_rolls","time_in_hour","combat_time"
31,74.8411317677843,0.0180557615845077,0.249772299523791,2,6,6,5,0,13.4133333333333,0,0,102,2.96546888888889,1.82837333333333
32,100.971472221044,0.0239780271244464,0.250840767232179,6,4,3,5,2,12.7466666666667,1,0,107,3.29142416666667,1.29669944444445
33,132.173015028361,0.0253447775701554,0.267662677896411,5,12,0,2,0,14.311320754717,0,0,151,4.30695166666667,1.12855611111111
34,127.948377272153,0.0236547194069426,0.252442634977529,7,10,0,3,1,12.7457627118644,1,0,158,4.50228694444445,1.75253944444444
35,130.113636838597,0.0378898185319153,0.274191401157182,3,7,1,0,0,14.5333333333333,1,0,93,3.02298305555555,1.02899472222222
36,197.321644229856,0.0801143500730231,0.277838487446882,4,1,2,1,1,12.8928571428571,0,0,43,2.37797694444444,0
37,283.226670389409,0.0625638768255818,0.27215502246325,0,8,2,3,2,14.2173913043478,1,0,86,4.32919388888889,0.662248333333332
38,194.465144366277,0.0599830796934845,0.262466032226848,4,5,1,0,4,13.5333333333333,1,0,59,4.10912666666667,0
39,181.106950079297,0.0412074971739014,0.277051140633824,2,4,1,3,2,13.4057971014493,0,0,93,3.63475777777778,1.72879166666667
40,82.7927164013118,0.0297708437257504,0.266252759327642,1,4,2,1,0,15.1914893617021,1,0,61,2.82414416666667,0.93752
41,114.825334555419,0.0349119290226267,0.265622328168549,0,7,1,3,1,14.4166666666667,1,1,66,4.30322027777778,0.758498888888889
42,168.684540062142,0.0424043589899805,0.269967790276081,2,2,2,2,7,13.4363636363636,0,0,83,3.44822888888889,0.977736666666666
43,263.244742021405,0.0638788502842526,0.291553148817694,1,3,2,2,2,14.5434782608696,0,1,61,3.42614111111111,0.723431944444446
44,242.39059251119,0.0472312144409957,0.258306544229326,4,4,0,2,7,13.2115384615385,0,1,153,4.55099472222222,1.45776833333333
45,209.401843245081,0.0674402071642774,0.279935065474612,0,2,0,0,1,14.1666666666667,0,0,31,3.02492833333333,0
46,141.232596078369,0.0375020170149679,0.291247861331352,0,2,2,1,1,14.3230769230769,0,1,99,3.35453083333333,1.7680125
47,123.592175415043,0.0383231551674551,0.258668041527885,0,2,0,0,3,15,0,0,44,2.98886055555555,0
48,211.451985435496,0.0572265183857905,0.272113793947984,6,4,1,0,3,12.3461538461538,1,0,87,3.16420861111111,0.522635
49,159.853763071348,0.0284386698223355,0.267434493888835,7,6,3,5,0,13.4754098360656,0,0,174,4.82085138888889,2.24336472222222
