"actor_guest","turns","total_turns","turns_percent","time","total_time","time_percent","words","total_words","words_percent"
"Interesting.
Marisha",1,272686,0.000366722163954145,1.76700000000028,1548543.682,0.000114107210570782,1,3430387,2.91512298758128e-05
"It Looks Good.
Taliesin",1,272686,0.000366722163954145,2.73000000000047,1548543.682,0.000176294671679818,3,3430387,8.74536896274385e-05
"It's A Five Total.
Sam",1,272686,0.000366722163954145,2.5,1548543.682,0.000161442007032773,3,3430387,8.74536896274385e-05
"It's A One.
Laura",1,272686,0.000366722163954145,2.57999999999993,1548543.682,0.000166608151257817,2,3430387,5.83024597516257e-05
"It's Tingly.
Marisha",1,272686,0.000366722163954145,1.34999999999991,1548543.682,8.71786837976915e-05,5,3430387,0.000145756149379064
"It's Very You Too.
Sam",1,272686,0.000366722163954145,2.9399999999996,1548543.682,0.000189855800270515,2,3430387,5.83024597516257e-05
"It's Your Turn.
Taliesin",1,272686,0.000366722163954145,22.7950000000001,1548543.682,0.00147202822012483,52,3430387,0.00151586395354227
"Just A Look.
Laura",1,272686,0.000366722163954145,8.03300000000002,1548543.682,0.000518745456997707,19,3430387,0.000553873367640444
"Laura",40225,272686,14.7513990450555,128982.442,1548543.682,8.32927372338729,312714,3430387,9.11599769938494
"Liam",24569,272686,9.00999684618939,102220.696,1548543.682,6.60108572901078,242372,3430387,7.06544188746051
"Like",1,272686,0.000366722163954145,1.63299999999981,1548543.682,0.000105453918993795,2,3430387,5.83024597516257e-05
"Marisha",29989,272686,10.9976309748209,144372.132,1548543.682,9.32309069987216,266539,3430387,7.76993965986928
"Matt",77674,272686,28.4847773629743,762810.534,1548543.682,49.2598654378805,1729427,3430387,50.4149240304374
"Not Urban
Laura",1,272686,0.000366722163954145,2.90099999999984,1548543.682,0.000187337304960819,1,3430387,2.91512298758128e-05
"Orion",4887,272686,1.79217121524391,19736.761,1548543.682,1.27453692326646,50167,3430387,1.4624297491799
"Other Way.
Taliesin",1,272686,0.000366722163954145,1.37000000000012,1548543.682,8.84702198539673e-05,1,3430387,2.91512298758128e-05
"Right",1,272686,0.000366722163954145,2.9330000000009,1548543.682,0.000189403762650907,4,3430387,0.000116604919503251
"Runs Down Your Spine",1,272686,0.000366722163954145,16.4969999999998,1548543.682,0.00106532351600785,26,3430387,0.000757931976771134
"Sam",28606,272686,10.4904542220723,117212.777,1548543.682,7.56922638750594,252657,3430387,7.36526228673325
"Sam
Travis",1,272686,0.000366722163954145,2.63999999999942,1548543.682,0.000170482759426571,1,3430387,2.91512298758128e-05
"So",1,272686,0.000366722163954145,2.63999999999942,1548543.682,0.000170482759426571,1,3430387,2.91512298758128e-05
"So We Could
Marisha",1,272686,0.000366722163954145,5.66599999999926,1548543.682,0.000365892164739029,9,3430387,0.000262361068882316
"Some Bnumerouss On It.
Liam",1,272686,0.000366722163954145,2,1548543.682,0.000129153605626218,4,3430387,0.000116604919503251
"Stopped By The Ruins.
Sam",1,272686,0.000366722163954145,2.33300000000054,1548543.682,0.000150657680963019,2,3430387,5.83024597516257e-05
"Taliesin",26301,272686,9.64515963415797,117511.275,1548543.682,7.58850243399205,255328,3430387,7.44312522173154
"That Guests Be From 2",1,272686,0.000366722163954145,45.129,1548543.682,0.0029142865341528,113,3430387,0.00329408897596685
"That Is A...
Liam",1,272686,0.000366722163954145,1.96000000000004,1548543.682,0.000126570533513696,1,3430387,2.91512298758128e-05
"That Was Sick.
Taliesin",1,272686,0.000366722163954145,24.7379999999998,1548543.682,0.00159750094799068,58,3430387,0.00169077133279715
"That's A Gun Jam.
Marisha",1,272686,0.000366722163954145,1.81999999999971,1548543.682,0.00011752978111984,1,3430387,2.91512298758128e-05
"That's Not Subtle.
Sam",1,272686,0.000366722163954145,2.23300000000017,1548543.682,0.000144200000681684,6,3430387,0.000174907379254877
"That's Stupid.
Marisha",1,272686,0.000366722163954145,1.65999999999985,1548543.682,0.000107197492669752,2,3430387,5.83024597516257e-05
"There Are Many.
Travis",1,272686,0.000366722163954145,1.09,1548543.682,7.0388715066289e-05,3,3430387,8.74536896274385e-05
"Travis",26664,272686,9.77827977967332,99144.6100000001,1548543.682,6.40244192995261,197837,3430387,5.76719186494119
"Twelve Points.
Laura",1,272686,0.000366722163954145,1.65999999999985,1548543.682,0.000107197492669752,4,3430387,0.000116604919503251
"We Failed.
Sam",1,272686,0.000366722163954145,2.43199999999979,1548543.682,0.000157050784441468,2,3430387,5.83024597516257e-05
"We're Gonna
Travis",1,272686,0.000366722163954145,1.02999999999884,1548543.682,6.65141068974275e-05,3,3430387,8.74536896274385e-05
"What
Liam",1,272686,0.000366722163954145,1.63299999999981,1548543.682,0.000105453918993795,2,3430387,5.83024597516257e-05
"You Are No Longer
Laura",1,272686,0.000366722163954145,4.02999999999975,1548543.682,0.000260244515336814,1,3430387,2.91512298758128e-05
"You Take...
Sam",1,272686,0.000366722163954145,2.26999999999953,1548543.682,0.000146589342385727,4,3430387,0.000116604919503251
